CAS,Chemical Name,Glove_AlphaTec_02-100,Glove_AlphaTec_Solvex_37-675,Glove_AlphaTec_38-001,Glove_AlphaTec_39-122_124,Glove_AlphaTec_53-002_003,Glove_AlphaTec_58-270,Glove_AlphaTec_58-530_535,Glove_DermaShield_73-701_711_721,Glove_TouchNTuff_92-600_605,Glove_MICROFLEX_93-260_360
123-75-1,Azacyclopentane,> 480,10-30,60-120,< 10,240-480,< 10,10-30,< 10,< 10,< 10
110-86-1,Azine,> 480,10,60-120,< 10,323,< 10,< 10,1,< 10,< 10
108-31-6,ANODRIDE TOXILICA,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
1336-21-6,Ammonia aqueous sol. (33%),N.A.,120-240,> 480,10-30,> 480,120-240,120-240,< 10,< 10,10-30
7664-41-7,Ammonia anhydrous,24,120-240,> 480,30-60,240-480,30-60,30-60,10-30,10-30,> 480
1336-21-6,Ammonia aqueous sol. (35%),N.A.,120-240,> 480,< 10,240-480,60-120,120-240,< 10,< 10,10-30
108-91-8,Amminocicloesano,240-480,60-120,30-60,10-30,> 480,10-30,30-60,< 10,< 10,10-30
1336-21-6,Ammonia aqueous sol. (25%),15,232,> 480,31,> 480,181,288,26,26,51
1336-21-6,Ammonia aqueous sol. (10%),240-480,> 480,60-120,> 480,240-480,240-480,30-60,30-60,60-120,N.A.
62-53-3,Amminobenzene,> 480,30-60,> 480,10-30,> 480,10-30,30-60,< 10,< 10,10-30
100-44-7,alfa-clorotulene,> 480,10-30,30-60,< 10,60-120,< 10,< 10,< 10,< 10,< 10
67-56-1,Alcol metilico,170,28,> 480,4,> 480,21,56,18,4,22
71-36-3,alcol butilico,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,240-480,> 480
107-13-1,Acrilonitrile,< 10,51,> 480,< 10,> 480,6,30-60,< 10,< 10,3
107-18-6,Alcol allilico,240-480,60-120,> 480,10-30,> 480,30-60,60-120,10-30,< 10,30-60
107-21-1,ALCOL ETILENICO,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
64-17-5,alcol denaturato,> 480,240-480,> 480,10-30,> 480,30-60,30-60,10-30,10-30,30-60
7722-84-1,Albone (Hydrogen Peroxide 30%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
7697-37-2,Acquaforte (Nitric Acid 65%),> 480,> 480,> 480,62,> 480,62,62,< 10,< 10,10-30
75-05-8,ACN (Acetonitrile),5,30-60,> 480,< 10,> 480,< 10,< 10,< 10,< 10,< 10
7664-93-9,acido solforico (99%),> 480,305,> 480,120-240,> 480,120-240,73,5,5,60-120
75-98-9,Acido trimetilacetico,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
7664-93-9,acido solforico (50%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
7664-38-2,Acido ortofosforico (85%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
76-03-9,Acido tricloroacetico,> 480,10-30,240-480,< 10,> 480,< 10,10-30,30-60,< 10,10-30
77-78-1,acido solforico (Dimethyl Sulfate),> 480,60-120,> 480,30-60,120-240,30-60,30-60,60-120,< 10,30-60
7697-37-2,Acido nitrico fumante (bianco),> 480,< 10,30-60,< 10,< 6,< 10,< 10,1,< 10,< 10
8014-95-7,Acido solforico fumante,240-480,10-30,60-120,< 10,120-240,10-30,< 10,30-60,< 10,10-30
7647-01-0,Acido muriatico (HCl 37%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,30-60,> 480
1333-82-0,acido di cromo (50%),> 480,> 480,60-120,120-240,> 480,120-240,> 480,30-60,10-30,120-240
64-18-6,Acido carbossilico di idrogeno (Formic 98%),240-480,22,240-480,10-30,> 480,10-30,10-30,350,< 10,20
79-09-4,ACIDO ETILFORMICO,60-120,60-120,> 480,30-60,> 480,30-60,30-60,30-60,10-30,30-60
1319-77-3,Acido cresilico,240-480,120-240,> 480,30-60,> 480,30-60,60-120,60-120,10-30,60-120
64-18-6,ACIDO CARBOSSILICO DI IDROGENO (Formic 90%),240-480,30-60,> 480,10-30,> 480,10-30,30-60,240-480,< 10,30-60
7790-94-5,Acido clorosolfonico,60-120,< 10,10-30,< 10,10-30,< 10,< 10,< 10,< 10,< 10
7697-37-2,acido azotico (Nitric Acid 70%),> 480,26,> 480,8,> 480,14,53,> 480,< 10,39
144-62-7,Acido etandioico,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
141-78-6,Acetic Ester,> 480,18,77,< 5,> 480,< 10,15,< 10,< 10,5
79-10-7,Acido acrilico,> 480,10,> 480,136,35,10-30,10-30,60-120,< 10,30-60
108-24-7,ACETYL ANHYDRIDE,> 480,< 10,> 480,> 480,< 10,< 10,< 10,10-30,< 10,< 10
64-19-7,Acetic acid (50%),> 480,240-480,> 480,> 480,120-240,120-240,240-480,240-480,60-120,120-240
64-19-7,Acido acetico glaciale (100%),228,240-480,102,< 10,> 480,27,> 480,< 10,240-480,25
75-07-0,Acetaldeide,< 10,42,< 10,67,< 10,8,< 10,30,< 10,< 10
