CAS,Chemical Name,Glove_AlphaTec_02-100,Glove_AlphaTec_Solvex_37-675,Glove_AlphaTec_38-001,Glove_AlphaTec_39-122_124,Glove_AlphaTec_53-002_003,Glove_AlphaTec_58-270,Glove_AlphaTec_58-530_535,Glove_DermaShield_73-701_711_721,Glove_TouchNTuff_92-600_605,Glove_MICROFLEX_93-260_360
54-11-5,Nicotina,240-480,60-120,> 480,30-60,240-480,30-60,60-120,< 10,10-30,30-60
111-87-5,octanol,> 480,> 480,> 480,240-480,> 480,240-480,> 480,240-480,> 480,> 480
95-53-4,o-Methylaniline,240-480,30-60,> 480,10-30,> 480,10-30,30-60,< 10,< 10,< 10
98-95-3,Nitrobenzene,> 480,105,< 10,120-240,20,> 480,30-60,60-120,60-120,30-60
107-13-1,Nitrili di propilene,> 480,< 10,240-480,< 10,60-120,< 10,6,< 10,< 10,3
64742-82-1,Nafta (petrolio) pesante idrodesolforata,> 480,> 480,60-120,> 480,> 480,120-240,120-240,10-30,60-120,60-120
109-60-4,n-propil acetato,> 480,20,30-60,< 10,> 480,10-30,10-30,< 10,< 10,< 10
71-23-8,n-propanolo,> 480,> 480,> 480,120-240,> 480,> 480,240-480,60-120,21,200
8030-30-6,Nafta,> 480,84,< 10,> 480,> 480,> 480,> 480,10-30,240-480,> 480
64742-49-0,Nafta petrolio leggeri idrotrattati,> 480,> 480,< 10,> 480,> 480,> 480,> 480,10-30,> 480,> 480
64742-48-9,Nafta pesante idrotrattata,> 480,> 480,10-30,> 480,> 480,> 480,> 480,30-60,> 480,> 480
141-78-6,nafta acetica,> 480,18,77,< 5,> 480,< 10,15,< 10,< 10,5
1120-21-4,n-undecano,> 480,> 480,> 480,> 480,> 480,> 480,> 480,30-60,> 480,> 480
71-36-3,n-butanolo,> 480,> 480,> 480,240-480,> 480,240-480,> 480,> 480,30-60,> 480
110-54-3,n-esano,> 480,> 480,< 10,> 480,> 480,> 480,> 480,10-30,> 480,> 480
124-40-3,N-METHYLMETHANAMINE,120-240,> 480,> 480,60-120,> 480,60-120,120-240,30-60,30-60,60-120
142-82-5,n-ΕΡΤΑΝΟ,> 480,> 480,< 10,> 480,> 480,> 480,> 480,10-30,> 480,> 480
872-50-4,N-METHYL PYRROLIDONE,10-30,240-480,> 480,< 10,366,< 2,10-30,< 10,< 10,7
84-74-2,N-Butylphthalate,> 480,> 480,> 480,> 480,> 480,> 480,> 480,30-60,120-240,240-480
109-89-7,N-Ethylethanamine,17,> 480,< 10,< 5,> 480,< 10,28,< 10,3,6
123-86-4,n-butyl acetate,29,> 480,< 5,> 480,30-60,> 480,3,< 10,19,< 10
68-12-2,N,N-Dimethylformamide,27,18,< 10,< 10,> 480,222,3,< 10,10-30,9
121-44-8,N,N-Diethylethanamine,> 480,> 480,120-240,> 480,> 480,120-240,240-480,< 10,> 480,> 480
7647-01-0,Muriatic acid,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,30-60,> 480
107-10-8,Monopropilammina,> 480,> 480,< 10,< 10,> 480,< 10,< 10,< 10,< 10,< 10
74-89-5,Monomethylamine,> 480,60-120,> 480,10-30,> 480,10-30,30-60,10-30,< 10,10-30
107-21-1,Monoethylene Glycol,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,> 480,> 480
141-43-5,monoetanolammina,> 480,> 480,> 480,240-480,> 480,240-480,> 480,120-240,> 480,120-240
108-90-7,Monochlorobenzene,> 480,< 10,< 10,< 10,> 480,> 480,> 480,> 480,> 480,< 10
7705-08-0,molisite,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
67-68-5,metilsolfossido,> 480,120-240,> 480,30-60,> 480,30-60,120-240,39,< 10,93
79-22-1,Metilcloroformato,240-480,< 10,> 480,< 10,30-60,< 10,< 10,< 10,< 10,< 10
108-88-3,metilbenzeno,> 480,23,< 10,< 5,> 480,< 10,19,< 10,1,6
584-84-9,Methylbenzene-2,4-diisocyanate,> 480,120-240,> 480,30-60,> 480,30-60,120-240,10-30,10-30,30-60
108-10-1,Metil Isobutil Chetone,> 480,27,60-120,< 10,> 480,< 10,< 10,< 10,< 10,< 10
75-18-3,Methylsulphanylmethane,> 480,< 10,< 10,< 10,> 480,< 10,< 10,< 10,< 10,< 10
75-15-0,Metil-t-butil etere,> 480,12,< 10,< 5,> 480,< 10,< 10,< 10,< 10,15
1634-04-4,Metil tert-butil etere,> 480,240-480,10-30,60-120,> 480,60-120,120-240,< 10,67,60-120
75-09-2,Methylene Chloride,> 480,< 10,< 10,< 10,23,< 10,< 10,< 10,< 10,2
75-05-8,Methyl Cyanide,> 480,5,> 480,3,> 480,< 10,5,8,< 10,5
74-87-3,Methyl Chloride,240-480,10-30,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
64-18-6,METHANOIC ACID (90%),240-480,30-60,> 480,10-30,> 480,30-60,10-30,240-480,< 10,30-60
64-18-6,Methanoic Acid (98%),240-480,22,240-480,10-30,> 480,10-30,10-30,350,< 10,20
50-00-0,Methanal (37%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
50-00-0,metanale (10%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
80-62-6,Metacrilato di metile (>99% p/p),> 480,19,< 10,> 480,> 480,30-60,60-120,> 480,< 10,< 10
96-33-3,Metacrilato di metile,> 480,< 10,< 10,> 480,> 480,10-30,10-30,> 480,> 480,< 10
7439-97-6,Mercurio,> 480,< 10,< 10,> 480,> 480,2,< 10,120-240,> 480,< 10
75-08-1,Mercaptoethane,10-30,10-30,< 10,< 10,10-30,< 10,< 10,< 10,< 10,< 10
67-56-1,MeOH,170,28,> 480,4,> 480,21,56,18,4,22
78-93-3,MEK,> 480,5,138,< 10,> 480,< 10,7,< 10,< 10,3
7722-64-7,Manganato di potassio (VII),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
79-09-4,LUPROSIL,60-120,60-120,> 480,30-60,> 480,30-60,30-60,30-60,10-30,30-60
540-84-1,Isooctane,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,30-60,> 480
78-59-1,Isoforone,> 480,120-240,> 480,> 480,10-30,> 480,> 480,> 480,10-30,60-120
78-83-1,isobutyl alcohol,> 480,85,> 480,> 480,> 480,> 480,> 480,> 480,> 480,60-120
7758-94-3,Iron dichloride,> 480,60-120,> 480,> 480,> 480,120-240,> 480,> 480,50,30-60
7681-52-9,Ipoclorito di sodio (14.5% cloro),240-480,> 480,> 480,10-30,60-120,> 480,> 480,60-120,> 480,> 480
67-63-0,IPA (70%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,120-240,240-480
67-63-0,IPA (100%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,234,175,380
1310-73-2,Idrossido di sodio (50%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
1310-73-2,Idrossido di sodio (40%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
1310-73-2,Idrossido di sodio (100%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
1310-58-3,Idrossido di potassio (30%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
1310-58-3,Idrossido di potassio (86%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
1336-21-6,Idrossido di ammonio (35%),120-240,> 480,< 10,240-480,60-120,120-240,< 10,< 10,10-30,> 480
1336-21-6,Idrossido di ammonio (33%),120-240,> 480,10-30,> 480,120-240,120-240,< 10,< 10,10-30,> 480
